work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size,work_model
2021,Mid-Level,Full-Time,BI Data Analyst,36259,HU,50,US,L,Hybrid
2021,Senior,Full-Time,Data Science Manager,54094,IN,50,US,L,Hybrid
2022,Mid-Level,Full-Time,Data Scientist,31795,IN,100,US,M,Remote
2024,Senior,Full-Time,Analytics Engineer,750000,US,0,US,M,In-Person
2024,Mid-Level,Full-Time,Machine Learning Scientist,750000,US,0,US,M,In-Person
2024,Senior,Full-Time,Data Analyst,750000,US,0,US,M,In-Person
2024,Mid-Level,Full-Time,Machine Learning Scientist,750000,US,0,US,M,In-Person
2023,Mid-Level,Full-Time,Machine Learning Scientist,750000,US,0,US,M,In-Person
2023,Mid-Level,Full-Time,Machine Learning Engineer,750000,US,0,US,M,In-Person
2023,Mid-Level,Full-Time,Data Engineer,750000,US,0,US,M,In-Person
2023,Senior,Full-Time,Data Scientist,750000,US,0,US,M,In-Person
2024,Mid-Level,Full-Time,Machine Learning Scientist,720000,US,0,US,M,In-Person
2024,Senior,Full-Time,Data Scientist,720000,US,100,US,M,Remote
2024,Mid-Level,Full-Time,Analytics Engineer,720000,US,0,US,M,In-Person
2024,Senior,Full-Time,Analytics Engineer,720000,US,0,US,M,In-Person
2024,Senior,Full-Time,Data Scientist,720000,US,0,US,M,In-Person
2024,Mid-Level,Full-Time,Research Engineer,720000,US,0,US,M,In-Person
2024,Mid-Level,Full-Time,Research Scientist,720000,US,0,US,M,In-Person
2024,Mid-Level,Full-Time,Research Engineer,720000,US,0,US,M,In-Person
2023,Senior,Full-Time,Analytics Engineer,700000,US,100,US,M,Remote
2023,Mid-Level,Full-Time,Analytics Engineer,700000,US,100,US,M,Remote
2024,Senior,Full-Time,Research Scientist,600000,US,0,US,M,In-Person
2024,Senior,Full-Time,Prompt Engineer,600000,US,0,US,M,In-Person
2024,Senior,Full-Time,Research Engineer,600000,US,0,US,M,In-Person
2024,Senior,Full-Time,Machine Learning Engineer,550000,US,0,US,M,In-Person
2024,Senior,Full-Time,Machine Learning Engineer,550000,US,0,US,M,In-Person
